chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate,target
0.49933088,2235.8055159942187,1844.7615782428334,4339.10472972973,0.021740789,0.19064743454391891,ng
0.2997936,2550.156448880247,1550.288063118532,4148.881392045455,0.13655911,0.24559992009943182,ng
0.5152849,1159.012458030355,1471.1530117903565,2064.935064935065,0.038879167,0.07294414569805195,ng
0.27861285,2466.296444001718,1936.1013485251312,5145.833333333333,0.17488784,0.17847033514492755,ng
0.52285296,1343.9022818856688,1652.4907808206685,2718.6569940476193,0.04259261,0.06951032366071429,ng
0.18453148,1470.4900344064251,1565.3172317402689,2786.4216549295775,0.16833599,0.06867916483274648,ng
0.2661826,1522.6756415018729,1619.6516365160144,3015.680017605634,0.043344684,0.0958647392165493,ng
0.42103443,2203.0012052947286,2136.380812498943,4819.6875,0.06784457,0.140654296875,ng
0.18179464,1307.8998583813407,1366.2410339593232,2423.2047872340427,0.105172776,0.06404102947695035,ng
0.26535136,2837.7297794943192,2038.4890223566233,5398.555871212121,0.13430373,0.18275775331439395,ng
0.536829,2134.7932638460265,1948.6953329756827,4517.213983050848,0.05683205,0.14967061705508475,ng
0.57495666,2067.904304984599,2036.009211881346,4533.494971264367,0.033855822,0.16841774425287356,ng
0.5631778,1477.6127316580375,1632.789323195695,2896.105410447761,0.07998523,0.0922997318097015,ng
0.43629584,1821.3135249122781,1647.0672759687163,3461.7745535714284,0.053913713,0.16227794828869047,ng
0.4981645,1024.2948282175942,1504.4612871700012,1816.7842741935483,0.017082931,0.04851310483870968,ng
0.27570483,1625.017723016638,1819.8462116170804,3816.347947761194,0.17438109,0.07980847714552239,ng
0.2374447,1380.8670820923267,1010.8795552692679,2254.222972972973,0.10670528,0.13961544552364866,ng
0.59279346,1233.2006656545816,1617.1793546321494,2585.3125,0.027853627,0.068609375,ng
0.45007068,1374.4763565357928,1610.5965164546642,2407.7280405405404,0.06092743,0.08955342060810811,ng
0.4886425,2648.1272007754947,2210.208118525868,5589.0625,0.052243374,0.20972316576086958,ng
